,driverId,forename,surname,code,number,raceId,year,round,circuitId,name,date,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,time_x,time_y,lap,position
85,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:36.963,29,5
86,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:37.158,30,5
87,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:37.031,31,4
88,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:36.941,32,4
89,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:36.741,33,4
90,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:39.614,34,4
91,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:56.166,35,6
92,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:34.090,36,5
93,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:34.897,37,5
94,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:34.783,38,5
95,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:35.087,39,5
96,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:34.859,40,5
97,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:35.028,41,5
98,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:34.982,42,5
99,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:35.192,43,5
100,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:35.051,44,5
101,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:35.220,45,5
102,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:35.058,46,4
103,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:35.057,47,4
104,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:35.308,48,4
105,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:35.302,49,4
106,844,Charles,Leclerc,LEC,16,1121,2024,1,3,Bahrain Grand Prix,2024-03-02,2024-02-29,11:30:00,2024-02-29,15:00:00,2024-03-01,12:30:00,2024-03-01,16:00:00,15:00:00,1:35.383,50,4
